STATION;DATE;DP01;DP10;DP1X;DSND;EMNT;EMXP;EMXT;PRCP;TAVG;TMAX;TMIN
USW00013958;1938-06;9;4;1;0;17,8;40,6;35;76,9;27,5;33,3;21,7
USW00013958;1938-07;8;3;1;0;20;30,5;37,2;50,8;28,9;35,1;22,6
USW00013958;1938-08;4;2;0;0;21,1;15,2;38,3;23,6;29,1;35,7;22,4
USW00013958;1938-09;8;7;0;0;11,7;23,1;35,6;60,6;26;33;19
USW00013958;1938-10;5;3;0;0;3,9;3,8;38,9;11,2;22,8;30,6;15,1
USW00013958;1938-11;3;3;0;0;-5,6;16,3;30,6;22,1;13,5;20,8;6,2
USW00013958;1938-12;7;4;1;0;-3,9;29,2;26,7;42,8;11,6;17,9;5,3
USW00013958;1939-01;13;7;0;0;-1,7;24,6;23,3;70,4;11,3;17,4;5,1
USW00013958;1939-02;8;4;0;0;-3,9;14,2;28,9;28,6;11,1;18,9;3,3
USW00013958;1939-03;3;3;0;0;1,7;8,4;33,3;17;17,2;24,3;10,1
USW00013958;1939-04;3;2;1;0;1,1;43,2;36,7;57,5;20,1;27,7;12,6
USW00013958;1939-05;4;4;0;0;13,9;14,2;37,2;34,3;25,2;31,8;18,6
USW00013958;1939-06;6;5;0;0;18,3;8,9;38,3;27,6;27,9;34,4;21,4
USW00013958;1939-07;8;5;2;0;19,4;52,1;42,2;139,2;29,3;36;22,5
USW00013958;1939-08;6;6;1;0;18,9;43,7;38,3;77,5;28,2;34,8;21,6
USW00013958;1939-09;5;3;0;0;13,3;7,9;38,9;25,4;27,1;34,3;19,9
USW00013958;1939-10;8;3;1;0;3,3;31,5;34,4;44,9;22,1;29,1;15,2
USW00013958;1939-11;8;4;1;0;1,7;36,1;27,8;57,5;13,3;19;7,5
USW00013958;1939-12;3;2;0;0;-4,4;9,9;27,8;19,8;12,5;20;4,9
USW00013958;1940-01;5;2;0;2;-12,2;12,2;24,4;18,6;4,1;10,5;-2,3
USW00013958;1940-02;8;7;2;0;-3,3;32,3;32,2;94;11;17,7;4,3
USW00013958;1940-03;6;5;0;0;-1,7;7,9;30;31;15,9;22,8;8,9
USW00013958;1940-04;10;6;2;0;-0,6;71,6;32,8;148,7;18,5;25,3;11,8
USW00013958;1940-05;8;3;0;0;10;14,5;35;26,7;23;30;16
USW00013958;1940-06;13;12;2;0;14,4;76,2;35,6;195,3;25,4;31,3;19,4
USW00013958;1940-07;6;4;0;0;17,8;9,9;37,2;31;27,5;33,6;21,5
