"PERIODE","California","Illinois","New York","Texas"
"2005:Q1",2011957.6,738931.8,1276644.5,1145464
"2005:Q2",2029374.2,739052.6,1288086.5,1138105.3
"2005:Q3",2056154.2,743557.6,1310064.5,1139410.5
"2005:Q4",2071078,743452.2,1330956.6,1150672.5
"2006:Q1",2114085.7,757875.8,1345654.7,1199085.1
"2006:Q2",2109040.3,758270.4,1334401.1,1216269.5
"2006:Q3",2121481.1,758160.5,1330729.5,1230076.3
"2006:Q4",2137134.4,764996.1,1347488.8,1255158.1
"2007:Q1",2126879.2,764332.9,1382845.7,1268400.5
"2007:Q2",2153290.5,768292.9,1346675.2,1291796.4
"2007:Q3",2180276.5,769950.8,1348699.5,1294241.5
"2007:Q4",2215315.5,775709.9,1336975.3,1300876.2
"2008:Q1",2180243.6,763659.5,1338711.4,1284436.7
"2008:Q2",2224915.6,767475.2,1329041.3,1281165.1
"2008:Q3",2222326.2,763586.2,1336299,1281540.1
"2008:Q4",2141841.9,741660.4,1308331.1,1301624.2
"2009:Q1",2132988.7,735610.7,1319111.6,1289023.9
"2009:Q2",2103479.1,737193.3,1381244.1,1276382.5
"2009:Q3",2097783.4,740394.1,1397375.5,1282525.3
"2009:Q4",2108466.3,749979.1,1420287.1,1294309.2
"2010:Q1",2130529.1,743781,1427785.2,1310711.2
"2010:Q2",2139237.4,751543.8,1450765,1315872
"2010:Q3",2150266.8,761689.1,1428292,1328624.8
"2010:Q4",2195377.7,764551.6,1419653.9,1337028.3
"2011:Q1",2185033.7,766319.1,1448482.9,1348985.4
"2011:Q2",2194927.2,772094.5,1434551.8,1365201.1
"2011:Q3",2189999.3,771408.7,1431819.6,1370137.8
"2011:Q4",2201588.5,779080.2,1446532.9,1396375.3
"2012:Q1",2231663.5,794426.3,1467075,1417027.1
"2012:Q2",2242371.4,793682.2,1490188.6,1431760.8
"2012:Q3",2256039.1,790563.2,1505473.3,1438761.1
"2012:Q4",2291675.1,784221.4,1522383.6,1465868.6
"2013:Q1",2287676.1,791917.4,1487125.7,1487916.8
"2013:Q2",2315711.1,790672.7,1495170,1505441.2
"2013:Q3",2348046.5,795175.4,1502382.7,1522933.2
"2013:Q4",2409907.6,803975.4,1522593.8,1530935
"2014:Q1",2383712,797714.2,1512163.3,1521271.1
"2014:Q2",2412048.9,810220.2,1523669.4,1549853.2
"2014:Q3",2456771.3,818332.3,1544034.7,1574744.4
"2014:Q4",2462170.6,819693.7,1561636.4,1592675.7
"2015:Q1",2518399.5,820333.5,1555233.7,1635187
"2015:Q2",2550179.7,824655,1574206,1619894.5
"2015:Q3",2556125.7,830015.9,1575760.8,1637102.1
"2015:Q4",2559213.2,826695.3,1558140.2,1644324.6
"2016:Q1",2599892.4,824188,1590076.8,1636233
"2016:Q2",2600609.1,825439.8,1592969.3,1631766.4
"2016:Q3",2639393.2,824048.3,1584141.5,1634400.9
"2016:Q4",2654952,831942.7,1595083.6,1633052.8
"2017:Q1",2681002,827244.7,1615882.9,1642860.4
"2017:Q2",2717703.9,831227.2,1610484.9,1654182.7
"2017:Q3",2759618,834913.4,1621581.1,1672558.3
"2017:Q4",2803877.1,837922,1651253.8,1699650.7
"2018:Q1",2809417.8,846640.6,1657126.1,1719792.7
"2018:Q2",2838193.8,848069.3,1667068.7,1742497.8
"2018:Q3",2869602.8,853891.4,1674704.9,1755960
"2018:Q4",2886666.7,857467.4,1661847.4,1767922.5
"2019:Q1",2909833.5,853067.6,1684004.1,1772384.2
"2019:Q2",2954169.3,856589,1703063.6,1790077.5
"2019:Q3",2989756.8,864431.7,1708092.1,1826002.2
"2019:Q4",3024676.3,857984.9,1722297.4,1838480.4
"2020:Q1",2983004.4,832702,1710292.6,1807341.8
"2020:Q2",2751836.2,764986.7,1559243.7,1680581
"2020:Q3",2978343,819347.9,1669629.5,1791705.2
"2020:Q4",3020097.3,823767,1687973.4,1815000.5
"2021:Q1",3078576.1,841918.7,1688534.8,1844499
"2021:Q2",3130909.7,853522.9,1722666.3,1871578.6
"2021:Q3",3175140.8,857513.3,1742180.1,1886783.9
"2021:Q4",3232127.9,870597.5,1791507.9,1913543.7
"2022:Q1",3191257.9,878185.4,1775770.4,1920808
"2022:Q2",3180774.6,873990.1,1756439.3,1922668.7
"2022:Q3",3186374,874761.8,1763451.5,1956591.7
"2022:Q4",3177624.8,879206.8,1764747.2,2010765.8
"2023:Q1",3222520.6,881185.1,1772700.3,2047534.5
"2023:Q2",3228085.4,882473.2,1783664.9,2079740.8
"2023:Q3",3262783,887438.6,1805139.3,2116586.2
"2023:Q4",3281237.1,891508.3,1803338.4,2144500.1
"2024:Q1",3331857.2,887516.3,1814253.5,2145329.6
"2024:Q2",3354963.1,893704.2,1831168.7,2160124.1
"2024:Q3",3380751.2,898035.4,1839391.2,2182545.2
"2024:Q4",3392761.6,902114.1,1853429.9,2201475.3
