"Texas","PERIOD","California","Illinois","New York"
"X2005.Q1",31162.6,3320.3,2449.1,10336
"X2005.Q2",31102.3,3231,2502.3,10194
"X2005.Q3",31072.7,2888.5,2566.5,9915
"X2005.Q4",32187.9,2667.2,2706.3,9807.9
"X2006.Q1",30438,4409.3,2646.6,9010.8
"X2006.Q2",31586.8,4793.5,2875,10749.2
"X2006.Q3",30794.2,4315.8,2602.5,9313
"X2006.Q4",31668.3,4607.5,2404.3,7879.8
"X2007.Q1",29469,4756.9,2770.9,8182.6
"X2007.Q2",29359.4,4626.4,2538.3,7594.9
"X2007.Q3",28320.6,4792.9,2352.9,7945.7
"X2007.Q4",28503.3,5213.7,2146.9,8550.1
"X2008.Q1",25456.3,6352.1,2474.3,7117.1
"X2008.Q2",25717.8,6052.9,2435.5,6018.3
"X2008.Q3",25800.9,6088.8,2589.8,4554.4
"X2008.Q4",27023.4,6625,3060.7,6741.4
"X2009.Q1",32133.9,5512.5,2367.4,6569.5
"X2009.Q2",30488.4,5770.9,2472.5,6367.7
"X2009.Q3",32095.2,6147.7,2714.9,7158.6
"X2009.Q4",28702.8,6498.4,2504,6708.9
"X2010.Q1",30433.5,5131.2,2965.5,10484.6
"X2010.Q2",31297.2,5178.5,2916.5,9855
"X2010.Q3",30472,5117.8,2757.5,9032.5
"X2010.Q4",29497.1,5171.7,2631,8572.8
"X2011.Q1",27282,6445.6,2483.1,7229.9
"X2011.Q2",26876.5,5742.3,2519.1,6768
"X2011.Q3",27248.8,6148.6,2518.9,6895.5
"X2011.Q4",29884.1,6659.6,2661.8,6643.5
"X2012.Q1",28037,4965.7,2466,8952.8
"X2012.Q2",28637.5,5619.2,2309.2,6423.8
"X2012.Q3",29486.2,4615,2231.8,5543.4
"X2012.Q4",28350.5,3236.2,2182.2,5215.1
"X2013.Q1",26342.8,8164.7,2109.9,6331.6
"X2013.Q2",29662.8,7933.4,2452.2,7840.2
"X2013.Q3",30918.4,7535.3,2508.1,7591.5
"X2013.Q4",31324.5,7158,2693.8,8544.1
"X2014.Q1",35022.3,5631.6,2492.3,7707.3
"X2014.Q2",33430.1,5998.5,2429.7,7989
"X2014.Q3",33077,5533.2,2693.9,8336.6
"X2014.Q4",31560.1,6198.6,2897.6,8290.9
"X2015.Q1",36443.2,3159.8,2389.2,11135.2
"X2015.Q2",35092.8,3524.5,2536.2,10787.6
"X2015.Q3",35316.5,4095.8,2583.4,11237.4
"X2015.Q4",37381.1,5640.3,2467.8,11626.1
"X2016.Q1",38831.2,7334.4,2805.3,9369.3
"X2016.Q2",38565.6,6448.2,2689.6,9830.8
"X2016.Q3",40272.8,5932.1,2665.1,10089.8
"X2016.Q4",42459.4,5904.6,2549.3,9362.3
"X2017.Q1",38947.5,6669.6,2772.8,10634.7
"X2017.Q2",38723.9,6102.5,2756.4,10262.7
"X2017.Q3",39819.9,5624.9,2803.6,9347.3
"X2017.Q4",39538.6,5100,2944.1,9333.4
"X2018.Q1",38384.4,4513.1,2640,9774.8
"X2018.Q2",40156.2,5391.5,2811.5,10005
"X2018.Q3",41824.4,7368.4,2647.4,9315.1
"X2018.Q4",41520,9831.5,2520.5,10184.5
"X2019.Q1",42149.5,3566.2,3229.5,7585
"X2019.Q2",39905.5,5056,3058.6,9488.5
"X2019.Q3",38551.5,6462.4,2916.8,9304.1
"X2019.Q4",36797.6,5522.3,3039.6,9928.8
"X2020.Q1",34456.2,5799.1,2927.6,12353.4
"X2020.Q2",45095.2,7785.1,2194.8,5321.3
"X2020.Q3",44294.9,5804.7,3546,9479.7
"X2020.Q4",41913.5,6802.1,2934.5,8936
"X2021.Q1",35963.8,8780,3200.8,11045.7
"X2021.Q2",32254.5,10351.8,2836.3,9559
"X2021.Q3",34057.3,9482.9,2635.9,9290
"X2021.Q4",42802.8,7814.3,3216.9,9895.7
"X2022.Q1",34819.9,7883.6,3380.7,12095.8
"X2022.Q2",31635.1,9121.2,3245.9,10489.2
"X2022.Q3",31558.8,9201,3093.4,10468.4
"X2022.Q4",33807.1,8491.5,3117.3,10270.7
"X2023.Q1",30828.1,8519.7,2759.8,13191.7
"X2023.Q2",35730.2,8893.4,2645.8,13517.3
"X2023.Q3",35528.9,8620,2705.2,13853.2
"X2023.Q4",38450.2,7610.6,3099.5,14321.2
"X2024.Q1",42752,6077.6,3272.4,15803.7
"X2024.Q2",45960.2,5071.1,3944.4,17624.1
"X2024.Q3",43124.3,3213.2,4400.4,18299.5
"X2024.Q4",42791,3117.1,3836,17797.8
