"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00014735","1938-06","11","9","0","0","5.6","25.1","36.1","89.5","20.1","27.0","13.2"
"USW00014735","1938-07","17","10","1","0","9.4","41.1","33.3","130.0","22.7","28.3","17.1"
"USW00014735","1938-08","13","8","0","0","7.2","19.6","35.0","80.9","22.8","29.3","16.3"
"USW00014735","1938-09","14","13","3","0","1.1","82.6","28.3","222.7","14.7","20.7","8.8"
"USW00014735","1938-10","5","3","0","0","-2.8","12.7","27.8","30.1","11.5","17.5","5.5"
"USW00014735","1938-11","12","6","0","8","-23.9","18.3","23.9","60.1","4.5","9.7","-0.8"
"USW00014735","1938-12","13","6","0","8","-17.2","19.3","11.1","84.9","-2.0","1.7","-5.7"
"USW00014735","1939-01","18","3","1","6","-22.2","37.1","11.7","64.7","-5.6","-1.2","-9.9"
"USW00014735","1939-02","14","10","0","25","-19.4","18.5","14.4","78.0","-4.1","1.9","-10.1"
"USW00014735","1939-03","16","10","0","17","-23.3","20.3","15.6","77.8","-2.1","3.0","-7.1"
"USW00014735","1939-04","18","10","0","3","-5.6","21.3","26.7","88.7","5.6","10.8","0.4"
"USW00014735","1939-05","8","5","0","0","0.6","8.6","30.0","28.1","15.9","22.6","9.1"
"USW00014735","1939-06","11","8","1","0","5.0","26.2","32.8","77.3","19.6","26.1","13.0"
"USW00014735","1939-07","10","3","1","0","7.2","32.8","36.1","72.9","22.1","28.9","15.3"
"USW00014735","1939-08","8","4","0","0","11.1","22.9","33.9","49.9","23.2","29.9","16.5"
"USW00014735","1939-09","9","4","1","0","0.6","40.4","33.3","91.8","16.5","23.1","9.9"
"USW00014735","1939-10","13","9","1","0","-5.6","32.0","31.7","81.9","9.4","15.0","3.9"
"USW00014735","1939-11","4","1","1","1","-10.0","40.1","15.0","43.0","1.8","6.4","-2.8"
"USW00014735","1939-12","11","7","0","5","-17.8","13.5","8.9","39.0","-2.8","1.0","-6.6"
"USW00014735","1940-01","11","4","0","20","-22.8","9.9","4.4","28.7","-9.5","-5.2","-13.7"
"USW00014735","1940-02","12","4","0","19","-25.0","22.9","4.4","72.0","-5.7","-1.0","-10.4"
"USW00014735","1940-03","16","8","1","29","-20.0","39.6","14.4","115.1","-2.9","1.0","-6.8"
"USW00014735","1940-04","11","8","0","3","-6.1","20.6","24.4","92.4","5.4","10.5","0.3"
"USW00014735","1940-05","16","9","0","0","1.1","22.1","29.4","93.6","14.7","20.2","9.1"
"USW00014735","1940-06","17","9","0","0","2.8","18.8","32.8","72.2","18.3","24.0","12.6"
"USW00014735","1940-07","12","9","1","0","7.8","33.3","34.4","107.5","21.6","28.2","15.1"
"USW00014735","1940-08","6","4","0","0","1.7","25.1","32.8","45.2","19.8","26.4","13.3"
"USW00014735","1940-09","7","6","2","0","1.7","51.3","27.8","109.5","15.6","22.2","9.0"
"USW00014735","1940-10","6","3","0","0","-7.2","7.9","23.3","19.1","7.7","13.6","1.9"
"USW00014735","1940-11","15","9","1","4","-10.6","28.4","18.3","79.5","3.5","7.4","-0.5"
"USW00014735","1940-12","12","7","0","7","-22.8","20.6","8.9","67.2","-1.9","2.5","-6.3"
"USW00014735","1941-01","13","5","0","27","-21.7","23.6","4.4","50.5","-7.6","-3.3","-11.9"
"USW00014735","1941-02","8","2","1","15","-17.2","46.2","5.6","59.2","-4.8","-0.7","-8.9"
"USW00014735","1941-03","10","3","0","14","-17.2","20.1","9.4","47.1","-2.3","2.2","-6.7"
"USW00014735","1941-04","8","3","0","0","-3.3","7.4","33.9","18.3","11.2","18.6","3.8"
"USW00014735","1941-05","8","3","0","0","-1.1","13.7","33.3","30.4","15.2","22.7","7.6"
"USW00014735","1941-06","8","5","0","0","3.3","9.9","36.1","38.4","20.3","26.8","13.8"
"USW00014735","1941-07","11","6","1","0","9.4","29.5","36.1","113.2","23.0","29.4","16.6"
"USW00014735","1941-08","9","7","1","0","5.6","38.4","32.8","91.6","20.1","26.6","13.5"
"USW00014735","1941-09","5","3","1","0","-0.6","31.8","32.8","40.7","17.3","25.0","9.6"
"USW00014735","1941-10","13","5","0","0","-3.9","17.5","32.8","45.9","10.8","16.3","5.3"
