"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00023232","1941-12","17","11","1","0","-0.6","25.7","18.9","127.4","9.4","13.6","5.2"
"USW00023232","1942-01","10","8","1","0","-3.3","40.9","16.7","110.3","7.7","11.4","3.9"
"USW00023232","1942-02","8","7","0",,"-0.6","19.8","19.4","64.7","9.6","14.9","4.3"
"USW00023232","1942-03","5","5","2",,"0.0","30.2","25.6","68.0","11.5","18.4","4.6"
"USW00023232","1942-11","8","5","0",,"0.0","15.7","25.6","36.9","11.4","17.9","4.9"
"USW00023232","1942-12","7","6","0","0","-2.2","18.5","18.9","68.5","7.6","11.6","3.7"
"USW00023232","1943-01","12","6","1","0","-3.9","66.8","16.7","150.0","7.8","13.1","2.5"
"USW00023232","1943-02","8","4","0","0","-1.1","10.4","22.8","30.2","10.6","16.2","4.9"
"USW00023232","1943-03","12","10","1","0","2.2","26.4","23.9","100.1","12.6","18.1","7.1"
"USW00023232","1943-11","5","2","0","0","-0.6","7.1","25.0","15.8","12.0","19.7","4.4"
"USW00023232","1943-12","8","5","0","0","-2.8","16.8","21.7","46.3","8.6","14.4","2.8"
"USW00023232","1944-01","9","7","0","0","-1.7","12.7","18.3","63.6","8.1","13.4","2.7"
"USW00023232","1944-02","12","8","3","0","-1.1","51.6","17.8","162.9","9.4","14.4","4.4"
"USW00023232","1944-03","3","2","0","0","-1.1","21.8","27.8","34.5","12.4","19.8","5.1"
"USW00023232","1944-11","10","7","0",,"0.0","20.6","20.6","79.3","10.5","15.6","5.4"
"USW00023232","1944-12","8","7","0",,"-1.1","15.0","18.3","52.2","8.3","13.1","3.5"
"USW00023232","1945-01","4","3","0","0","-2.8","24.6","16.7","36.6","6.6","11.0","2.3"
"USW00023232","1945-02","7","5","2",,"-1.1","52.3","20.0","98.5","10.6","16.4","4.8"
"USW00023232","1945-03","9","7","0","0","-0.6","18.3","25.0","59.2","9.8","15.8","3.9"
"USW00023232","1945-11","6","4","0","0","-1.1","13.2","26.7","36.9","10.9","16.5","5.3"
"USW00023232","1945-12","12","8","1","0","-2.8","35.8","16.7","123.0","8.0","11.8","4.3"
"USW00023232","1946-01","4","1","0","0","-2.8","10.2","16.7","14.3","7.0","12.5","1.5"
"USW00023232","1946-02","8","2","0","0","-3.3","6.4","20.0","18.5","7.5","13.6","1.5"
"USW00023232","1946-03","10","6","0","0","1.1","13.2","25.6","46.0","11.2","17.7","4.7"
"USW00023232","1946-11","5","4","1","0","0.0","30.5","20.6","57.7","10.1","16.3","3.9"
"USW00023232","1946-12","8","5","0","0","-1.7","7.4","15.0","31.6","7.4","10.9","3.8"
"USW00023232","1947-01","3","1","0","0","-4.4","10.7","19.4","12.0","5.3","10.9","-0.3"
"USW00023232","1947-02","4","3","1","0","0.0","28.4","23.3","52.3","9.8","15.1","4.6"
"USW00023232","1947-03","10","6","0","0","1.1","17.0","26.1","58.9","12.8","18.8","6.8"
"USW00023232","1947-07","0","0","0",,"10.6","0.0","39.4","0.0","22.6","31.9","13.2"
"USW00023232","1947-08","0","0","0",,"10.6","0.0","37.8","0.0","22.2","30.8","13.6"
"USW00023232","1947-09","1","0","0",,"6.7","0.3","38.3","0.3","22.7","32.6","12.8"
"USW00023232","1947-10","6","6","0",,"5.6","24.1","35.0","63.7","16.5","22.8","10.2"
"USW00023232","1947-11","2","2","0","0","-2.8","16.3","20.0","25.7","9.7","16.3","3.2"
"USW00023232","1947-12","3","2","0","0","-2.8","9.4","18.9","13.4","7.1","12.2","2.0"
"USW00023232","1948-01","4","1","0","0","-3.3","6.4","20.0","9.7","9.0","16.1","1.9"
"USW00023232","1948-02","7","3","0","0","-3.3","7.1","20.6","20.3","8.4","14.9","1.9"
"USW00023232","1948-03","9","8","0","0","-0.6","18.8","22.2","82.8","9.8","16.0","3.6"
"USW00023232","1948-04","14","11","0","0","2.2","11.7","24.4","66.9","11.9","17.2","6.6"
"USW00023232","1948-05","5","5","1","0","3.9","38.4","30.0","79.6","15.5","22.7","8.3"
"USW00023232","1948-06","0","0","0","0","8.9","0.0","36.1","0.0","20.6","28.6","12.6"
"USW00023232","1948-07","0","0","0","0","10.0","0.0","41.1","0.0","22.8","31.9","13.6"
"USW00023232","1948-08","0","0","0","0","10.6","0.0","36.1","0.0","22.2","31.6","12.9"
"USW00023232","1948-09","1","0","0","0","6.7","0.3","38.9","0.3","21.1","30.4","11.9"
"USW00023232","1948-10","1","1","1","0","1.7","35.3","32.2","35.3","17.0","24.5","9.5"
"USW00023232","1948-11","5","1","0","0","-1.1","6.1","22.2","11.5","11.0","17.9","4.1"
"USW00023232","1948-12","14","11","1","0","-3.9","35.8","17.8","122.9","5.6","9.5","1.6"
"USW00023232","1949-01","4","4","1","0","-6.1","25.9","14.4","37.3","3.6","9.1","-1.9"
"USW00023232","1949-02","9","6","0","0","-3.9","15.5","19.4","44.6","7.4","12.7","2.1"
"USW00023232","1949-03","10","10","0","0","2.8","18.5","21.7","94.6","11.5","16.4","6.7"
"USW00023232","1949-04","0","0","0","0","4.4","0.0","30.6","0.0","16.3","24.6","8.0"
"USW00023232","1949-05","3","1","0","0","5.6","2.5","35.0","5.3","17.9","25.6","10.1"
"USW00023232","1949-06","0","0","0","0","9.4","0.0","39.4","0.0","22.5","31.9","13.0"
"USW00023232","1949-07","1","0","0","0","11.1","0.5","37.8","0.5","23.2","33.1","13.3"
"USW00023232","1949-08","1","0","0","0","10.0","0.8","37.8","0.8","21.9","30.8","13.1"
"USW00023232","1949-09","1","0","0","0","9.4","0.3","38.9","0.3","21.8","30.7","13.0"
