"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00093822","1901-01","5","2","1","4","-17.2","37.1","17.2","45.7","-0.5","3.6","-4.6"
"USW00093822","1901-02","10","3","0","12","-16.1","14.7","10.0","33.3","-4.5","-0.6","-8.4"
"USW00093822","1901-03","12","5","1","0","-13.9","29.0","21.1","75.2","4.7","8.9","0.4"
"USW00093822","1901-04","8","5","0","0","-1.1","9.7","31.1","31.4","10.5","15.9","5.2"
"USW00093822","1901-05","9","3","1","0","4.4","28.7","31.7","47.8","16.8","22.7","11.0"
"USW00093822","1901-06","15","9","1","0","8.9","37.8","36.7","135.6","24.3","30.2","18.4"
"USW00093822","1901-07","5","1","0","0","13.3","10.7","41.7","14.9","28.2","34.9","21.6"
"USW00093822","1901-08","6","5","1","0","12.8","34.0","37.2","74.1","24.3","30.8","17.8"
"USW00093822","1901-09","8","4","0","0","1.7","21.8","34.4","49.5","19.6","25.9","13.4"
"USW00093822","1901-10","7","2","1","0","1.7","37.3","31.1","45.2","14.4","20.4","8.4"
"USW00093822","1901-11","7","4","0","0","-7.8","8.1","21.7","27.0","4.2","9.1","-0.8"
"USW00093822","1901-12","9","3","1","10","-23.9","37.1","16.1","68.7","-3.4","-0.1","-6.6"
"USW00093822","1902-01","7","3","0","11","-22.2","13.0","13.9","25.8","-2.2","1.8","-6.2"
"USW00093822","1902-02","9","2","0","20","-21.1","12.7","10.0","25.7","-6.2","-1.9","-10.6"
"USW00093822","1902-03","11","5","0","0","-12.2","24.4","21.7","94.9","6.3","10.4","2.1"
"USW00093822","1902-04","10","7","1","0","-3.3","38.6","30.6","77.1","10.4","15.9","4.9"
"USW00093822","1902-05","14","4","0","0","6.7","24.1","32.8","45.9","19.9","25.6","14.3"
"USW00093822","1902-06","15","11","4","0","8.3","72.6","34.4","256.7","20.8","26.0","15.6"
"USW00093822","1902-07","7","3","0","0","12.8","21.1","34.4","35.9","24.8","30.2","19.4"
"USW00093822","1902-08","11","8","2","0","11.7","34.0","32.8","130.2","22.3","27.4","17.1"
"USW00093822","1902-09","12","7","0","0","3.3","19.6","28.9","58.4","16.9","22.3","11.6"
"USW00093822","1902-10","9","4","1","0","1.1","32.0","25.6","54.5","14.5","19.9","9.0"
"USW00093822","1902-11","10","5","1","0","-3.3","30.5","24.4","71.7","9.4","13.6","5.3"
"USW00093822","1902-12","14","9","0","3","-17.8","12.4","12.2","56.6","-1.9","1.4","-5.1"
"USW00093822","1903-01","11","4","0","16","-21.1","8.9","15.0","36.7","-2.7","1.5","-6.9"
"USW00093822","1903-02","10","5","1","11","-24.4","31.0","13.3","77.5","-2.1","2.2","-6.4"
"USW00093822","1903-03","8","3","0","0","-8.9","20.6","24.4","37.4","7.4","12.4","2.5"
"USW00093822","1903-04","9","6","2","0","-1.7","38.1","28.9","101.5","11.7","17.4","6.1"
