"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00014735","2005-01",16,10,1,23,"-26,7","25,7","13,9","108,7","-6,9","-2,4","-11,4"
"USW00014735","2005-02",10,4,0,18,"-18,3","9,4","10","35,2","-2,8","2,1","-7,7"
"USW00014735","2005-03",13,6,1,17,"-14,4","41,7","15,6","101,4","-0,5","4,5","-5,5"
"USW00014735","2005-04",11,8,0,0,"-1,1","19,3","28,3","59,9","10,1","16,9","3,3"
"USW00014735","2005-05",11,6,0,0,"-1,1","11,2","28,3","36,7","12,5","18,4","6,7"
"USW00014735","2005-06",12,7,2,0,"8,3","45","34,4","98,4","22,7","28,6","16,8"
"USW00014735","2005-07",13,10,2,0,"12,2","55,4","32,8","191,5","23,2","28,5","17,9"
"USW00014735","2005-08",10,7,0,0,"11,1","22,6","32,8","76,5","23,2","28,5","17,9"
"USW00014735","2005-09",6,5,0,0,"5","22,6","32,2","55,8","19","25,3","12,7"
"USW00014735","2005-10",15,12,3,0,"-0,6","66,8","26,7","228,7","11,1","15,7","6,6"
"USW00014735","2005-11",14,8,3,2,"-8,3","34,8","22,2","145,2","5,8","11,5","0,1"
"USW00014735","2005-12",11,6,1,19,"-17,2","25,9","6,7","75,1","-2,9","0,5","-6,3"
"USW00014735","2006-01",16,7,1,22,"-16,7","43,7","16,1","120,7","-0,3","4,6","-5,2"
"USW00014735","2006-02",12,3,0,4,"-16,1","7,9","16,1","26,3","-2,3","2,8","-7,3"
"USW00014735","2006-03",8,3,0,1,"-10,6","18,8","23,9","31,3","2,2","7,9","-3,4"
"USW00014735","2006-04",9,8,2,0,"-3,3","40,4","24,4","120,2","9,7","16,1","3,4"
"USW00014735","2006-05",19,11,1,0,"2,8","54,9","31,7","135,2","14,8","20,1","9,5"
"USW00014735","2006-06",18,14,2,0,"10","56,4","32,8","222,2","19,8","24,5","15"
"USW00014735","2006-07",10,5,1,0,"12,2","38,9","33,3","74,2","23,8","29,2","18,4"
"USW00014735","2006-08",13,7,1,0,"8,3","29,7","35,6","99,7","21","26,4","15,5"
"USW00014735","2006-09",12,8,1,0,"1,7","46,5","26,7","98,1","16,2","21,1","11,2"
"USW00014735","2006-10",11,6,2,0,"-3,3","40,6","25","125,7","9,3","14,7","3,9"
"USW00014735","2006-11",13,6,1,0,"-5,6","26,4","21,7","79,5","7","11,5","2,5"
"USW00014735","2006-12",9,5,0,0,"-12,2","11,9","17,8","51,1","1,8","6,1","-2,5"
"USW00014735","2007-01",16,6,0,5,"-19,4","18,8","21,7","54,7","-2,5","1,8","-6,9"
"USW00014735","2007-02",7,3,0,21,"-18,3","25,1","5,6","39,1","-7","-2,5","-11,4"
"USW00014735","2007-03",14,6,0,20,"-19,4","23,6","18,3","83,8","-0,1","5,4","-5,6"
"USW00014735","2007-04",13,6,2,2,"-6,1","57,4","30,6","151,5","6,8","12,1","1,6"
"USW00014735","2007-05",9,8,0,0,"2,2","20,1","31,7","89,2","15,7","22,6","8,9"
"USW00014735","2007-06",12,5,1,0,"4,4","33","34,4","85,5","20,4","26,5","14,4"
"USW00014735","2007-07",16,10,2,0,"10","52,6","33,9","178,6","21,4","27","15,8"
"USW00014735","2007-08",8,4,0,0,"8,9","23,9","33,9","59,3","21,5","27,3","15,8"
"USW00014735","2007-09",8,5,1,0,"4,4","31,2","32,2","69,7","17,9","24,1","11,8"
"USW00014735","2007-10",13,11,1,0,"-1,7","42,4","29,4","140,6","13,8","19,2","8,4"
"USW00014735","2007-11",12,7,1,0,"-10","37,6","13,9","77,2","3,1","7,8","-1,6"
"USW00014735","2007-12",18,8,1,19,"-16,7","33","10,6","120,6","-2,3","1,2","-5,9"
"USW00014735","2008-01",9,4,0,19,"-20,6","9,4","16,7","25,5","-2,5","2,1","-7"
"USW00014735","2008-02",14,10,1,18,"-18,9","30,7","13,3","127,9","-3,2","0,9","-7,3"
"USW00014735","2008-03",14,9,1,6,"-9,4","44,2","11,1","157,8","1","5,9","-3,9"
"USW00014735","2008-04",10,7,0,0,"-6,1","24,9","28,9","66,7","11,1","17,6","4,5"
"USW00014735","2008-05",10,6,0,0,"-2,2","11,4","28,3","31,4","13","19,8","6,3"
"USW00014735","2008-06",15,9,2,0,"9,4","46","35,6","138,6","21,3","26,9","15,7"
"USW00014735","2008-07",13,12,2,0,"13,3","63,2","32,8","176,2","23,1","28,3","17,8"
"USW00014735","2008-08",11,6,1,0,"8,3","38,6","29,4","76,4","20,3","25,9","14,6"
"USW00014735","2008-09",9,6,1,0,"4,4","31,8","31,7","107,1","17,9","23,4","12,5"
"USW00014735","2008-10",12,7,2,0,"-5","52,3","22,8","129,3","8,9","14,6","3,3"
"USW00014735","2008-11",11,6,0,0,"-8,9","24,9","20","61,9","4,2","8,1","0,2"
"USW00014735","2008-12",18,12,1,13,"-16,1","31,5","14,4","115,4","-2","2,4","-6,4"
"USW00014735","2009-01",10,5,0,31,"-22,2","20,6","5,6","57,2","-7,6","-3,1","-12,1"
"USW00014735","2009-02",6,2,0,13,"-17,2","6,6","10,6","16,2","-2,5","2,2","-7,3"
"USW00014735","2009-03",11,8,0,2,"-14,4","23,6","19,4","66,8","2,4","7,7","-2,9"
"USW00014735","2009-04",10,5,0,0,"-2,8","10,2","32,2","37,4","9,8","15,9","3,6"
"USW00014735","2009-05",16,8,1,0,"0","27,7","31,1","103,7","14,4","20,6","8,3"
