"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00013958","2005-01",9,6,1,0,"-1,7","34,5","26,7","57","12,4","17,3","7,6"
"USW00013958","2005-02",11,7,0,0,"2,2","19,1","27,8","56,3","13,2","17,5","8,9"
"USW00013958","2005-03",12,8,0,0,"2,8","23,9","29,4","109,4","16","22,1","9,8"
"USW00013958","2005-04",5,3,0,0,"6,7","9,4","34,4","18,4","19,8","26,2","13,3"
"USW00013958","2005-05",7,3,2,0,"7,8","37,1","36,1","79,7","23,6","29,3","18"
"USW00013958","2005-06",1,1,0,0,"17,8","22,6","37,8","22,6","28,6","34,6","22,6"
"USW00013958","2005-07",13,7,0,0,"20,6","24,4","40","69,9","29,5","35,8","23,3"
"USW00013958","2005-08",6,4,1,0,"20","30,7","38,9","62,1","29,8","35,9","23,7"
"USW00013958","2005-09",3,2,0,0,"20,6","20,6","41,7","36,6","29,1","35,5","22,7"
"USW00013958","2005-10",5,3,1,0,"5,6","29","35","45,3","21,6","28,1","15,1"
"USW00013958","2005-11",1,1,0,0,"-0,6","8,4","31,1","8,4","18,2","24,9","11,5"
"USW00013958","2005-12",2,0,0,0,"-5","2","27,8","2,3","11,2","18,1","4,3"
"USW00013958","2006-01",3,2,1,0,"1,7","33,5","30","45,7","14,8","22","7,6"
"USW00013958","2006-02",8,3,0,0,"-2,2","14","28,3","22,8","12,5","18,8","6,3"
"USW00013958","2006-03",10,7,2,0,"1,1","82,8","32,8","191,6","18,7","24,6","12,9"
"USW00013958","2006-04",5,4,1,0,"10","35,3","37,2","73,4","23,8","30,1","17,5"
"USW00013958","2006-05",9,3,2,0,"11,1","68,1","35,6","134,3","25,1","31,5","18,8"
"USW00013958","2006-06",6,6,1,0,"17,2","30,5","38,3","80,7","28,1","34,4","21,8"
"USW00013958","2006-07",6,1,0,0,"21,7","8,1","39,4","12,2","30","36,1","24"
"USW00013958","2006-08",1,1,0,0,"19,4","5,6","40","5,6","31,4","38,2","24,6"
"USW00013958","2006-09",8,5,1,0,"13,9","30,2","38,3","76,2","26,8","33,2","20,4"
"USW00013958","2006-10",6,5,2,0,"6,7","36,1","34,4","99,9","22","28,4","15,6"
"USW00013958","2006-11",5,1,1,0,"0,6","30,2","32,8","32,8","17,7","24,2","11,3"
"USW00013958","2006-12",9,5,2,0,"-1,7","36,8","26,7","106,6","12,7","18,2","7,1"
"USW00013958","2007-01",13,10,1,1,"-1,7","93","27,2","175,7","8,6","13,2","4,1"
"USW00013958","2007-02",4,0,0,0,"-4,4","1","30,6","3,5","12,5","18,8","6,2"
"USW00013958","2007-03",11,7,4,0,"1,1","37,8","29,4","151","18,6","23,9","13,4"
"USW00013958","2007-04",10,6,0,0,"1,1","20,3","29,4","57","18,7","24","13,5"
"USW00013958","2007-05",13,9,3,0,"15,6","57,2","32,8","178,1","24,1","28,9","19,4"
"USW00013958","2007-06",13,11,1,0,"18,9","45","34,4","137,4","27,2","31,9","22,4"
"USW00013958","2007-07",17,15,2,0,"21,1","53,8","34,4","249,8","27,3","31,4","23"
"USW00013958","2007-08",8,5,0,0,"21,1","23,6","37,8","63,5","29,5","34,7","24,2"
"USW00013958","2007-09",8,5,2,0,"19,4","41,7","35","100,9","27,4","32,5","22,2"
"USW00013958","2007-10",4,1,1,0,"6,7","25,9","34,4","28,8","23,3","29,9","16,7"
