"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00023232","2005-01",10,8,0,NA,"0","23,9","14,4","97,1","7,5","10,6","4,5"
"USW00023232","2005-02",9,6,0,NA,"0,6","17,8","20,6","59,2","11,3","16,1","6,5"
"USW00023232","2005-03",11,9,0,NA,"3,3","13,7","26,7","83,9","13,4","19,3","7,6"
"USW00023232","2005-04",5,2,0,NA,"3,3","10,2","25,6","21,4","14","20,7","7,3"
"USW00023232","2005-05",6,4,0,NA,"5,6","15","34,4","31,2","18,3","25,6","11,1"
"USW00023232","2005-06",3,1,0,NA,"8,9","12,2","36,7","16,8","20,6","28,2","13,1"
"USW00023232","2005-07",0,0,0,NA,"13,9","0","40,6","0","26","35,6","16,4"
"USW00023232","2005-08",0,0,0,NA,"12,2","0","38,9","0","24,6","34,3","14,9"
"USW00023232","2005-09",0,0,0,NA,"8,3","0","35","0","20,5","28,9","12,2"
"USW00023232","2005-10",4,0,0,NA,"5,6","1,5","31,1","3,8","17,4","25","9,8"
"USW00023232","2005-11",6,2,0,NA,"-0,6","9,1","25","21,6","12,5","19,4","5,6"
"USW00023232","2005-12",15,11,4,NA,"-2,2","53,8","17,8","228,2","9,6","13,8","5,4"
"USW00023232","2006-01",12,5,0,NA,"-1,1","24,9","16,7","64,3","8,9","13,5","4,3"
"USW00023232","2006-02",7,6,1,NA,"-2,2","28,2","22,2","53,1","10,5","17,1","4"
"USW00023232","2006-03",19,13,0,NA,"0","21,8","19,4","134,4","9,8","14,4","5,2"
"USW00023232","2006-04",11,9,1,NA,"3,3","29","30,6","83,2","14,1","19,1","9,1"
"USW00023232","2006-05",3,1,0,NA,"7,8","4,6","35","7,7","19,5","27,4","11,6"
"USW00023232","2006-06",0,0,0,NA,"10","0","40,6","0","23,4","32,1","14,7"
"USW00023232","2006-07",0,0,0,NA,"12,2","0","43,9","0","26,2","35,4","16,9"
"USW00023232","2006-08",0,0,0,NA,"10,6","0","37,2","0","22,7","31,8","13,6"
"USW00023232","2006-09",0,0,0,NA,"8,9","0","36,1","0","21,1","30,2","12"
"USW00023232","2006-10",2,1,0,NA,"3,3","3,3","30","4,1","16","23,8","8,1"
"USW00023232","2006-11",7,4,0,NA,"-1,1","11,9","25","28,5","11,9","17,2","6,6"
"USW00023232","2006-12",9,7,0,NA,"-3,3","25,1","18,9","76,5","7,9","13,4","2,4"
"USW00023232","2007-01",1,0,0,NA,"-6,1","1,3","19,4","1,3","6,5","14","-1"
"USW00023232","2007-02",11,10,1,NA,"0","26,7","23,9","112,8","10,4","15,5","5,2"
"USW00023232","2007-03",3,1,0,NA,"-0,6","6,9","28,3","8,9","14,3","21,9","6,6"
"USW00023232","2007-04",4,4,0,NA,"2,2","13,2","32,2","34,1","15,6","22,9","8,2"
"USW00023232","2007-05",4,3,0,NA,"4,4","4,6","33,3","10,4","19,1","27,6","10,5"
"USW00023232","2007-06",0,0,0,NA,"8,3","0","38,9","0","22,1","31,2","12,9"
"USW00023232","2007-07",1,0,0,NA,"12,8","0,3","41,7","0,3","24","33,1","15"
"USW00023232","2007-08",0,0,0,NA,"12,2","0","40,6","0","24,1","33,2","15"
"USW00023232","2007-09",3,0,0,NA,"5,6","0,8","37,8","1,6","20,3","28","12,7"
"USW00023232","2007-10",6,2,0,NA,"5","14,7","29,4","26,7","16,2","23,1","9,3"
"USW00023232","2007-11",2,2,0,NA,"0","14,2","27,2","21,6","12,8","20","5,6"
"USW00023232","2007-12",10,8,1,NA,"-2,2","33,5","18,9","80,5","7,6","12,4","2,9"
"USW00023232","2008-01",17,13,2,NA,"-1,1","43,9","16,7","169,4","7,7","11,6","3,9"
"USW00023232","2008-02",8,6,0,NA,"-0,6","18,3","21,7","45,9","9,6","15,5","3,6"
"USW00023232","2008-03",2,0,0,NA,"2,2","1","23,9","1,3","12,4","19,1","5,6"
"USW00023232","2008-04",0,0,0,NA,"1,1","0","32,8","0","14,2","22,6","5,8"
"USW00023232","2008-05",1,0,0,NA,"7,8","1","38,9","1","19,4","27,5","11,4"
"USW00023232","2008-06",0,0,0,NA,"10","0","39,4","0","22,4","31,6","13,2"
"USW00023232","2008-07",0,0,0,NA,"10","0","42,2","0","24","33,1","14,8"
"USW00023232","2008-08",0,0,0,NA,"12,2","0","40","0","24,4","33,8","15,1"
"USW00023232","2008-09",0,0,0,NA,"10","0","38,9","0","22,3","31,7","13"
"USW00023232","2008-10",4,3,0,NA,"6,1","10,2","33,9","21,3","17,9","26,3","9,6"
"USW00023232","2008-11",5,3,1,NA,"3,9","50,5","26,1","60,5","13,1","18,8","7,3"
"USW00023232","2008-12",9,4,0,NA,"-2,8","8,9","16,1","38,4","6,6","10,9","2,3"
"USW00023232","2009-01",5,3,0,NA,"-3,9","23,6","23,3","35,8","8,6","15","2,2"
"USW00023232","2009-02",14,10,2,NA,"-1,7","38,4","20,6","128,9","10,5","15,1","5,8"
"USW00023232","2009-03",6,4,0,NA,"0,6","17,3","25,6","53,2","12,4","18,6","6,3"
"USW00023232","2009-04",5,2,0,NA,"3,3","19,6","34,4","37,1","15,3","22,7","7,8"
