"STATION","DATE","DP01","DP10","DP1X","DSND","EMNT","EMXP","EMXT","PRCP","TAVG","TMAX","TMIN"
"USW00093822","2005-01",12,9,1,11,"-17,2","26,9","18,9","141,1","-1,6","2,2","-5,4"
"USW00093822","2005-02",10,3,0,3,"-8,3","22,4","18,3","43,5","2,6","7","-1,7"
"USW00093822","2005-03",8,3,0,0,"-6,7","14,7","23,9","28,3","4,7","10,3","-0,8"
"USW00093822","2005-04",11,6,1,0,"1,1","25,4","28,3","50","13,6","20,2","7"
"USW00093822","2005-05",6,3,1,0,"-1,1","29,2","31,7","56,2","17","24","9,9"
"USW00093822","2005-06",7,4,0,0,"11,1","15","35","34,6","24,1","30,4","17,8"
"USW00093822","2005-07",7,6,0,0,"12,2","23,4","36,7","68,2","24,8","30,9","18,6"
"USW00093822","2005-08",10,7,1,0,"13,3","28,7","35,6","73,2","24,6","30,6","18,6"
"USW00093822","2005-09",9,8,1,0,"3,9","43,2","35","100,7","21,9","28,9","14,8"
"USW00093822","2005-10",5,3,1,0,"-1,7","42,7","31,1","70,9","13,5","19,7","7,3"
"USW00093822","2005-11",8,7,1,0,"-9,4","31,8","23,9","100,3","7,2","12,6","1,8"
"USW00093822","2005-12",11,7,0,22,"-18,9","7,4","11,7","37,5","-3","0,5","-6,5"
"USW00093822","2006-01",6,4,0,1,"-6,1","21,6","16,1","53,8","3,9","7,9","-0,1"
"USW00093822","2006-02",5,3,0,3,"-17,2","6,4","18,3","13,5","-0,5","5,8","-6,7"
"USW00093822","2006-03",15,9,1,3,"-10","55,4","22,2","121,7","6,1","11,4","0,7"
"USW00093822","2006-04",11,7,1,0,"-0,6","48","31,7","111,8","14,5","21,4","7,7"
"USW00093822","2006-05",12,5,0,0,"3,9","12,7","34,4","41,6","17,8","23,5","12,1"
"USW00093822","2006-06",10,5,0,0,"11,1","19,3","33,3","62,5","22,1","28,3","16"
"USW00093822","2006-07",10,4,0,0,"11,1","19,1","36,7","58,1","25,6","31,6","19,6"
"USW00093822","2006-08",11,7,0,0,"13,3","15,2","36,7","62,3","23,8","29,3","18,4"
"USW00093822","2006-09",7,4,1,0,"1,7","28,4","30,6","51,4","18,1","24,6","11,5"
"USW00093822","2006-10",9,5,1,0,"-4,4","35,8","33,9","71,2","10,7","17,2","4,1"
"USW00093822","2006-11",7,5,1,0,"-7,2","46,2","23,9","99,9","7,5","12,7","2,3"
"USW00093822","2006-12",8,5,1,11,"-19,4","35,8","15,6","81,8","1,9","6,9","-3,1"
"USW00093822","2007-01",9,6,0,6,"-15","20,8","11,7","62,5","-0,8","3,1","-4,7"
"USW00093822","2007-02",8,5,0,14,"-23,9","23,6","9,4","69,9","-5,3","-0,9","-9,7"
"USW00093822","2007-03",10,7,0,0,"-9,4","12,7","26,1","56,2","9,9","15,6","4,1"
"USW00093822","2007-04",6,6,0,0,"-6,1","24,4","31,1","70,1","10,6","16,8","4,4"
"USW00093822","2007-05",8,4,0,0,"3,3","11,4","31,7","38,3","20,4","26,4","14,4"
"USW00093822","2007-06",13,10,2,0,"9,4","38,4","33,9","141,4","22,7","28,8","16,5"
"USW00093822","2007-07",6,3,0,0,"10,6","19,1","32,2","38,6","22,8","28,8","16,7"
"USW00093822","2007-08",10,6,0,0,"10,6","21,8","37,2","63,6","26,3","32,3","20,3"
