"PERIODE","DP01","DP10","DP1X","DSND","PRCP","TAVG","TMAX","TMIN","EMXP","EMXT","EMNT"
"2005:Q1",32,21,1,0,74.2333333333333,13.8666666666667,18.9666666666667,8.76666666666667,34.5,29.4,-1.7
"2005:Q2",13,7,2,0,40.2333333333333,24,30.0333333333333,17.9666666666667,37.1,37.8,6.7
"2005:Q3",22,13,1,0,56.2,29.4666666666667,35.7333333333333,23.2333333333333,30.7,41.7,20
"2005:Q4",8,4,1,0,18.6666666666667,17,23.7,10.3,29,35,-5
"2006:Q1",21,12,3,0,86.7,15.3333333333333,21.8,8.93333333333333,82.8,32.8,-2.2
"2006:Q2",20,13,4,0,96.1333333333333,25.6666666666667,32,19.3666666666667,68.1,38.3,10
"2006:Q3",15,7,1,0,31.3333333333333,29.4,35.8333333333333,23,30.2,40,13.9
"2006:Q4",20,11,5,0,79.7666666666667,17.4666666666667,23.6,11.3333333333333,36.8,34.4,-1.7
"2007:Q1",28,17,5,1,110.066666666667,13.2333333333333,18.6333333333333,7.9,93,30.6,-4.4
"2007:Q2",36,26,4,0,124.166666666667,23.3333333333333,28.2666666666667,18.4333333333333,57.2,34.4,1.1
"2007:Q3",33,25,4,0,138.066666666667,28.0666666666667,32.8666666666667,23.1333333333333,53.8,37.8,19.4
"2007:Q4",15,6,1,0,25.1333333333333,17.7,24.2,11.2,25.9,34.4,-2.2
"2008:Q1",19,8,1,0,35.6,14.2666666666667,21.0333333333333,7.53333333333333,26.4,35.6,-3.9
"2008:Q2",18,12,2,0,50.4,26.0666666666667,32.5,19.6666666666667,34,39.4,5
"2008:Q3",13,4,1,0,23.6666666666667,29.1333333333333,35.8,22.5,48.8,40.6,15
"2008:Q4",17,4,1,0,26.6,16.9,23.7333333333333,10.0333333333333,26.2,33.9,-2.2
"2009:Q1",20,9,1,0,44.5,15.2666666666667,22.1666666666667,8.33333333333333,40.4,32.8,-2.2
"2009:Q2",15,9,2,0,50.4666666666667,25.5666666666667,31.9333333333333,19.2,38.9,41.1,3.9
"2009:Q3",17,10,3,0,66.8,29.7666666666667,36.1666666666667,23.3666666666667,60.7,41.1,14.4
"2009:Q4",27,18,5,0,104.066666666667,15.0666666666667,20.4333333333333,9.76666666666667,52.8,33.3,-3.9
"2010:Q1",24,15,2,0,82,10.9333333333333,16.7333333333333,5.16666666666667,43.9,28.3,-8.3
"2010:Q2",20,13,5,0,84.1666666666667,25.0666666666667,30.5666666666667,19.5666666666667,63.5,37.2,5
"2010:Q3",20,15,2,0,140.4,29.2666666666667,34.8,23.6333333333333,178.8,41.7,12.8
"2010:Q4",9,5,0,0,13.1333333333333,16.9666666666667,23.5,10.4333333333333,13.7,31.7,-2.2
"2011:Q1",14,6,1,0,29.5666666666667,13.9333333333333,20.3,7.6,41.9,32.2,-8.3
"2011:Q2",9,4,2,0,50.2,26.9,33.7666666666667,20.0333333333333,75.2,41.1,5
"2011:Q3",4,1,0,0,1.96666666666667,31.4,38.8666666666667,24.0666666666667,4.1,44.4,15
"2011:Q4",23,16,3,0,84.9666666666667,16.6333333333333,22.6666666666667,10.6666666666667,43.2,35,-2.8
"2012:Q1",26,14,4,0,111.966666666667,15.3,21,9.6,79.8,33.3,-1.7
"2012:Q2",16,8,1,0,48.6,26.0666666666667,32.2,19.9333333333333,68.6,42.8,10.6
"2012:Q3",16,12,5,0,108.233333333333,28.9333333333333,35.2333333333333,22.6333333333333,68.6,41.7,16.1
"2012:Q4",9,5,0,0,10.7666666666667,17.7333333333333,24.1,11.3666666666667,13.2,32.8,-2.8
"2013:Q1",19,7,1,0,37.5666666666667,14.7,21.2666666666667,8.13333333333333,48,32.2,-1.1
"2013:Q2",20,12,3,0,86.1,24.4333333333333,30.7,18.1333333333333,83.8,42.2,4.4
